Palabra 1,Palabra 2,Palabra 3,Probabilidad,Posibles soluciones,Conteo de Coincidencias
sprint,cable,juego,87.27891156462586,"cable, juego",2
sprint,cable,fuego,87.27891156462586,"cable, fuego",2
zincs,multa,pobre,87.21088435374149,"multa, pobre",2
zincs,grupo,metal,87.21088435374149,"grupo, metal",2
clips,debut,razon,87.21088435374149,"debut, razon",2
golfs,cinta,mujer,87.14285714285715,"cinta, mujer",2
blocs,firme,junta,87.14285714285715,"firme, junta",2
zincs,debut,valor,87.14285714285714,"debut, valor",2
zincs,debut,volar,87.14285714285714,"debut, volar",2
golfs,decir,junta,87.14285714285714,"decir, junta",2
sprint,dueño,vocal,87.07482993197279,"dueño, vocal",2
sprint,cable,huevo,87.07482993197279,"cable, huevo",2
zincs,debut,largo,87.07482993197279,"debut, largo",2
lunch,pobre,vista,87.07482993197279,"pobre, vista",2
chips,bravo,tunel,87.07482993197279,"bravo, tunel",2
lunch,mejor,pista,87.00680272108843,"mejor, pista",2
chips,forma,tunel,87.00680272108843,"forma, tunel",2
light,banco,super,87.00680272108843,"banco, super",2
sprint,cable,dueño,87.00680272108843,"cable, dueño",2
flash,decir,punto,87.00680272108843,"decir, punto",2
chuts,firme,plano,87.00680272108843,"firme, plano",2
chuts,final,poder,87.00680272108843,"final, poder",2
films,hacer,punto,87.00680272108843,"hacer, punto",2
stand,fluir,pecho,87.00680272108843,"fluir, pecho",2
chist,mujer,plano,87.00680272108843,"mujer, plano",2
chips,angel,bruto,87.00680272108843,"angel, bruto",2
prest,final,mucho,87.00680272108843,"final, mucho",2
chuts,forma,nivel,86.93877551020408,"forma, nivel",2
films,debut,grano,86.93877551020408,"debut, grano",2
films,debut,rango,86.93877551020408,"debut, rango",2
lunch,firme,vasto,86.93877551020408,"firme, vasto",2
lunch,mejor,vista,86.93877551020408,"mejor, vista",2
chist,galon,mujer,86.87074829931973,"galon, mujer",2
bruts,fecha,lindo,86.87074829931973,"fecha, lindo",2
bruts,fecha,limon,86.87074829931973,"fecha, limon",2
chuts,borde,final,86.87074829931973,"borde, final",2
flash,comun,tigre,86.87074829931973,"comun, tigre",2
lunch,firma,gesto,86.87074829931973,"firma, gesto",2
lunch,firme,gasto,86.87074829931973,"firme, gasto",2
chuts,jabon,lider,86.87074829931973,"jabon, lider",2
panty,curso,debil,86.87074829931973,"curso, debil",2
chuts,firme,galon,86.87074829931973,"firme, galon",2
light,comun,frase,86.87074829931973,"comun, frase",2
light,mando,super,86.80272108843538,"mando, super",2
light,mundo,pesar,86.80272108843538,"mundo, pesar",2
rugby,cesta,lindo,86.73469387755102,"cesta, lindo",2
rugby,cesta,limon,86.73469387755102,"cesta, limon",2
clips,debut,forma,86.73469387755102,"debut, forma",2
brandy,ciego,sutil,86.73469387755102,"ciego, sutil",2
light,mundo,saber,86.66666666666667,"mundo, saber",2
fracs,debut,movil,86.66666666666666,"debut, movil",2
lunch,mitad,señor,86.59863945578232,"mitad, señor",2
golfs,decir,tumba,86.5986394557823,"decir, tumba",2
crups,debil,vagon,86.5986394557823,"debil, vagon",2
films,cargo,debut,86.5986394557823,"cargo, debut",2
prest,ducha,movil,86.53061224489795,"ducha, movil",2
chuts,movil,padre,86.53061224489795,"movil, padre",2
chuts,movil,pared,86.53061224489795,"movil, pared",2
clips,fruta,joven,86.46258503401361,"fruta, joven",2
chuts,doble,impar,86.4625850340136,"doble, impar",2
chuts,doble,prima,86.4625850340136,"doble, prima",2
chips,borde,multa,86.4625850340136,"borde, multa",2
chips,debut,moral,86.4625850340136,"debut, moral",2
chist,album,poder,86.4625850340136,"album, poder",2
henry,disco,multa,86.4625850340136,"disco, multa",2
bruts,facil,joven,86.32653061224491,"facil, joven",2
chuts,debil,gramo,86.3265306122449,"debil, gramo",2
zincs,mujer,plato,86.3265306122449,"mujer, plato",2
chips,album,orden,86.25850340136054,"album, orden",2
films,grave,punto,86.25850340136054,"grave, punto",2
chips,mundo,regla,86.25850340136054,"mundo, regla",2
sprint,album,oveja,86.25850340136054,"album, oveja",2
sprint,album,fuego,86.19047619047619,"album, fuego",2
sprint,album,juego,86.19047619047619,"album, juego",2
zincs,doble,fruta,86.19047619047619,"doble, fruta",2
zincs,reloj,tumba,86.19047619047619,"reloj, tumba",2
chefs,punto,rival,86.19047619047619,"punto, rival",2
light,comun,pared,86.19047619047619,"comun, pared",2
light,comun,padre,86.19047619047619,"comun, padre",2
sprint,lucha,oveja,86.19047619047619,"lucha, oveja",2
sprint,fecha,vuelo,86.19047619047619,"fecha, vuelo",2
lunch,mitad,pobre,86.19047619047619,"mitad, pobre",2
films,dejar,punto,86.19047619047619,"dejar, punto",2
films,junta,poder,86.19047619047619,"junta, poder",2
chips,favor,tunel,86.19047619047619,"favor, tunel",2
light,cajon,super,86.12244897959184,"cajon, super",2
chuts,grifo,panel,86.12244897959184,"grifo, panel",2
chefs,grupo,latin,86.12244897959184,"grupo, latin",2
chefs,libra,punto,86.12244897959184,"libra, punto",2
chuts,final,pobre,86.12244897959184,"final, pobre",2
chips,junta,roble,86.12244897959184,"junta, roble",2
chips,bruja,lento,86.12244897959184,"bruja, lento",2
golfs,tumba,venir,86.12244897959184,"tumba, venir",2
chefs,plano,tribu,86.12244897959184,"plano, tribu",2
sprint,fuego,lucha,86.12244897959184,"fuego, lucha",2
chefs,abril,punto,86.12244897959184,"abril, punto",2
bruts,final,pecho,86.12244897959184,"final, pecho",2
sprint,juego,lucha,86.12244897959184,"juego, lucha",2
grant,debil,mucho,86.05442176870748,"debil, mucho",2
chist,joven,lugar,86.05442176870748,"joven, lugar",2
chuts,joven,libra,86.05442176870748,"joven, libra",2
chuts,lapiz,menor,86.05442176870748,"lapiz, menor",2
chuts,lapiz,orden,86.05442176870748,"lapiz, orden",2
chuts,abril,joven,86.05442176870748,"abril, joven",2
films,borde,junta,86.05442176870748,"borde, junta",2
chuts,rifle,vagon,86.05442176870748,"rifle, vagon",2
cents,humor,lapiz,86.05442176870748,"humor, lapiz",2
chuts,final,mejor,85.98639455782313,"final, mejor",2
sprint,album,huevo,85.98639455782313,"album, huevo",2
light,bruja,censo,85.98639455782313,"bruja, censo",2
lunch,fibra,gesto,85.98639455782313,"fibra, gesto",2
pymes,final,truco,85.98639455782313,"final, truco",2
pymes,facil,turno,85.98639455782313,"facil, turno",2
chefs,galon,tribu,85.98639455782313,"galon, tribu",2
pymes,fluir,tacon,85.98639455782313,"fluir, tacon",2
chuts,debil,razon,85.91836734693878,"debil, razon",2
rugby,costa,nivel,85.91836734693878,"costa, nivel",2
clips,debut,favor,85.91836734693878,"debut, favor",2
rugby,tenis,vocal,85.91836734693878,"tenis, vocal",2
rugby,censo,vital,85.91836734693878,"censo, vital",2
sprint,album,dueño,85.91836734693878,"album, dueño",2
chuts,doble,nariz,85.91836734693878,"doble, nariz",2
sprint,dueño,lucha,85.85034013605443,"dueño, lucha",2
brandy,cielo,justo,85.85034013605441,"cielo, justo",2
lunch,prima,sexto,85.78231292517007,"prima, sexto",2
lunch,impar,sexto,85.78231292517007,"impar, sexto",2
spray,debut,limon,85.78231292517006,"debut, limon",2
flash,mundo,tigre,85.78231292517006,"mundo, tigre",2
light,frase,mundo,85.78231292517006,"frase, mundo",2
clips,mujer,vagon,85.71428571428571,"mujer, vagon",2
brandy,movil,suite,85.71428571428571,"movil, suite",2
chips,mayor,tunel,85.71428571428571,"mayor, tunel",2
crups,joven,mitad,85.71428571428571,"joven, mitad",2
clubs,joven,prima,85.71428571428571,"joven, prima",2
clubs,impar,joven,85.71428571428571,"impar, joven",2
henry,campo,sutil,85.71428571428571,"campo, sutil",2
vichy,lunes,tramo,85.64625850340136,"lunes, tramo",2
vichy,lunes,tomar,85.64625850340136,"lunes, tomar",2
chuts,mayor,nivel,85.64625850340136,"mayor, nivel",2
chuts,debil,vapor,85.64625850340136,"debil, vapor",2
chuts,movil,pegar,85.64625850340136,"movil, pegar",2
chips,debut,volar,85.64625850340136,"debut, volar",2
chips,debut,valor,85.64625850340136,"debut, valor",2
vichy,norte,salud,85.64625850340136,"norte, salud",2
chips,debut,largo,85.578231292517,"debut, largo",2
brandy,hotel,sucio,85.578231292517,"hotel, sucio",2
zincs,album,poder,85.578231292517,"album, poder",2
clubs,firme,vagon,85.578231292517,"firme, vagon",2
brandy,sutil,techo,85.578231292517,"sutil, techo",2
pymes,crudo,vital,85.51020408163265,"crudo, vital",2
volts,ducha,firme,85.51020408163265,"ducha, firme",2
chuts,dejar,movil,85.51020408163265,"dejar, movil",2
clips,debut,mayor,85.4421768707483,"debut, mayor",2
chuts,debil,forma,85.4421768707483,"debil, forma",2
zincs,fruta,golpe,85.4421768707483,"fruta, golpe",2
chuts,doble,firma,85.4421768707483,"doble, firma",2
chist,mundo,pegar,85.37414965986395,"mundo, pegar",2
chips,debut,norma,85.37414965986395,"debut, norma",2
chips,orden,tumba,85.37414965986395,"orden, tumba",2
films,ducha,poner,85.37414965986395,"ducha, poner",2
sprint,queja,vocal,85.3061224489796,"queja, vocal",2
chist,grave,mundo,85.3061224489796,"grave, mundo",2
rugby,disco,metal,85.3061224489796,"disco, metal",2
chefs,mundo,rival,85.3061224489796,"mundo, rival",2
pymes,curva,lindo,85.3061224489796,"curva, lindo",2
films,junta,pobre,85.3061224489796,"junta, pobre",2
zincs,flota,mujer,85.3061224489796,"flota, mujer",2
chefs,libra,mundo,85.23809523809524,"libra, mundo",2
chuts,plazo,venir,85.23809523809524,"plazo, venir",2
lunch,demas,grifo,85.23809523809524,"demas, grifo",2
spray,comun,debil,85.23809523809524,"comun, debil",2
chefs,abril,mundo,85.23809523809524,"abril, mundo",2
chuts,golpe,nariz,85.17006802721089,"golpe, nariz",2
chips,brazo,tunel,85.17006802721089,"brazo, tunel",2
light,comun,dejar,85.17006802721089,"comun, dejar",2
bruts,lapiz,noche,85.17006802721089,"lapiz, noche",2
chefs,junta,libro,85.10204081632654,"junta, libro",2
chuts,jabon,rifle,85.10204081632654,"jabon, rifle",2
bruts,feliz,mando,85.10204081632654,"feliz, mando",2
chuts,brazo,nivel,85.10204081632654,"brazo, nivel",2
films,debut,razon,85.10204081632654,"debut, razon",2
chuts,donar,feliz,85.03401360544218,"donar, feliz",2
chuts,feliz,ronda,85.03401360544218,"feliz, ronda",2
chuts,feliz,norma,85.03401360544218,"feliz, norma",2
rugby,cinta,lejos,84.96598639455783,"cinta, lejos",2
panty,doble,virus,84.96598639455782,"doble, virus",2
light,bruja,menos,84.89795918367348,"bruja, menos",2
vichy,laser,punto,84.89795918367346,"laser, punto",2
vichy,lunes,optar,84.89795918367346,"lunes, optar",2
vichy,lunes,tropa,84.89795918367346,"lunes, tropa",2
pymes,galon,tribu,84.89795918367346,"galon, tribu",2
pymes,fruta,lindo,84.89795918367346,"fruta, lindo",2
brandy,golpe,sutil,84.89795918367346,"golpe, sutil",2
brandy,golpe,suite,84.89795918367346,"golpe, suite",2
spray,bicho,tunel,84.82993197278911,"bicho, tunel",2
films,debut,vapor,84.82993197278911,"debut, vapor",2
rugby,menos,vital,84.82993197278911,"menos, vital",2
rugby,datos,nivel,84.82993197278911,"datos, nivel",2
lunch,firma,sexto,84.76190476190477,"firma, sexto",2
vichy,sabor,tunel,84.76190476190476,"sabor, tunel",2
vichy,obras,tunel,84.76190476190476,"obras, tunel",2
vichy,rasgo,tunel,84.76190476190476,"rasgo, tunel",2
golfs,debut,prima,84.76190476190476,"debut, prima",2
golfs,debut,impar,84.76190476190476,"debut, impar",2
chips,doble,fruta,84.6938775510204,"doble, fruta",2
zincs,poder,tumba,84.6938775510204,"poder, tumba",2
rugby,lista,noche,84.6938775510204,"lista, noche",2
clubs,firma,joven,84.6938775510204,"firma, joven",2
crups,feliz,mando,84.6938775510204,"feliz, mando",2
chips,reloj,tumba,84.6938775510204,"reloj, tumba",2
henry,clima,justo,84.6938775510204,"clima, justo",2
chuts,firma,golpe,84.6938775510204,"firma, golpe",2
bruts,fecha,movil,84.62585034013605,"fecha, movil",2
chuts,debil,favor,84.62585034013605,"debil, favor",2
pymes,tribu,vocal,84.62585034013605,"tribu, vocal",2
chefs,album,grito,84.5578231292517,"album, grito",2
chefs,album,trigo,84.5578231292517,"album, trigo",2
zincs,debut,gramo,84.5578231292517,"debut, gramo",2
corps,feliz,junta,84.5578231292517,"feliz, junta",2
chips,mundo,traje,84.48979591836735,"mundo, traje",2
chips,galon,mujer,84.48979591836735,"galon, mujer",2
rugby,cesta,movil,84.48979591836735,"cesta, movil",2
hertz,album,disco,84.48979591836735,"album, disco",2
chips,debut,rango,84.48979591836735,"debut, rango",2
chips,debut,grano,84.48979591836735,"debut, grano",2
golfs,ducha,venir,84.421768707483,"ducha, venir",2
bruts,cajon,feliz,84.421768707483,"cajon, feliz",2
pymes,crudo,final,84.35374149659864,"crudo, final",2
rugby,lindo,pesca,84.35374149659864,"lindo, pesca",2
rugby,limon,pesca,84.35374149659864,"limon, pesca",2
stand,bicho,mujer,84.35374149659864,"bicho, mujer",2
stand,feliz,grupo,84.35374149659864,"feliz, grupo",2
chefs,mando,tribu,84.35374149659864,"mando, tribu",2
rugby,disco,panel,84.35374149659864,"disco, panel",2
brandy,golpe,sucio,84.35374149659864,"golpe, sucio",2
chefs,lapiz,turno,84.28571428571429,"lapiz, turno",2
light,banco,mujer,84.28571428571429,"banco, mujer",2
rugby,censo,mitad,84.21768707482994,"censo, mitad",2
golfs,debut,nariz,84.21768707482994,"debut, nariz",2
sprint,doble,fecha,84.21768707482994,"doble, fecha",2
vichy,metro,salud,84.21768707482993,"metro, salud",2
vichy,metal,sudor,84.21768707482993,"metal, sudor",2
zincs,bruja,hotel,84.14965986394559,"bruja, hotel",2
chuts,feliz,rango,84.14965986394559,"feliz, rango",2
chuts,feliz,grano,84.14965986394559,"feliz, grano",2
sprint,doble,queja,84.14965986394559,"doble, queja",2
bruts,ancho,feliz,84.14965986394559,"ancho, feliz",2
light,jabon,super,84.14965986394559,"jabon, super",2
chuts,debil,mayor,84.14965986394557,"debil, mayor",2
vichy,laser,mundo,84.01360544217687,"laser, mundo",2
vichy,menor,salud,84.01360544217687,"menor, salud",2
pymes,junta,libro,84.01360544217687,"junta, libro",2
panty,mujer,siglo,84.01360544217687,"mujer, siglo",2
corps,feliz,tumba,84.01360544217687,"feliz, tumba",2
panty,lider,mucho,84.01360544217687,"lider, mucho",2
pymes,bruto,final,84.01360544217687,"bruto, final",2
bruts,campo,feliz,84.01360544217687,"campo, feliz",2
vichy,letra,mundo,83.94557823129252,"letra, mundo",2
brandy,sutil,viejo,83.94557823129252,"sutil, viejo",2
stand,feliz,humor,83.94557823129252,"feliz, humor",2
henry,album,disco,83.94557823129252,"album, disco",2
vichy,multa,orden,83.94557823129252,"multa, orden",2
lunch,fibra,sexto,83.87755102040818,"fibra, sexto",2
brandy,juego,listo,83.87755102040816,"juego, listo",2
brandy,juego,sutil,83.87755102040816,"juego, sutil",2
chefs,grupo,vital,83.87755102040816,"grupo, vital",2
zincs,debut,vapor,83.87755102040816,"debut, vapor",2
brandy,fuego,sutil,83.87755102040816,"fuego, sutil",2
brandy,fuego,listo,83.87755102040816,"fuego, listo",2
lunch,joyas,tigre,83.80952380952381,"joyas, tigre",2
chuts,fibra,golpe,83.80952380952381,"fibra, golpe",2
chips,flota,mujer,83.80952380952381,"flota, mujer",2
chist,bruja,golpe,83.80952380952381,"bruja, golpe",2
chuts,borde,lapiz,83.74149659863946,"borde, lapiz",2
zincs,debut,forma,83.6734693877551,"debut, forma",2
brandy,huevo,listo,83.6734693877551,"huevo, listo",2
brandy,huevo,sutil,83.6734693877551,"huevo, sutil",2
pymes,bruto,facil,83.6734693877551,"bruto, facil",2
chips,joven,lugar,83.6734693877551,"joven, lugar",2
films,bruja,techo,83.6734693877551,"bruja, techo",2
sprint,ducha,oveja,83.67346938775509,"ducha, oveja",2
chuts,impar,joven,83.67346938775509,"impar, joven",2
sprint,mucho,oveja,83.67346938775509,"mucho, oveja",2
chuts,joven,prima,83.67346938775509,"joven, prima",2
chips,borde,junta,83.60544217687075,"borde, junta",2
henry,siglo,tumba,83.60544217687075,"siglo, tumba",2
sprint,ducha,juego,83.60544217687075,"ducha, juego",2
sprint,ducha,fuego,83.60544217687075,"ducha, fuego",2
chuts,firme,vagon,83.5374149659864,"firme, vagon",2
bruts,joven,lapiz,83.53741496598639,"joven, lapiz",2
chist,mujer,vagon,83.53741496598639,"mujer, vagon",2
spray,debut,movil,83.53741496598639,"debut, movil",2
rugby,campo,tenis,83.46938775510205,"campo, tenis",2
panty,disco,mujer,83.46938775510205,"disco, mujer",2
chefs,bruja,lindo,83.46938775510205,"bruja, lindo",2
pymes,banco,fluir,83.46938775510203,"banco, fluir",2
films,bruja,noche,83.46938775510203,"bruja, noche",2
vichy,multa,preso,83.46938775510203,"multa, preso",2
chefs,bruja,limon,83.46938775510203,"bruja, limon",2
panty,dulce,grifo,83.4013605442177,"dulce, grifo",2
bruts,feliz,vagon,83.40136054421768,"feliz, vagon",2
pymes,grito,lucha,83.40136054421768,"grito, lucha",2
pymes,lucha,trigo,83.40136054421768,"lucha, trigo",2
rands,feliz,mucho,83.40136054421768,"feliz, mucho",2
grand,feliz,justo,83.33333333333334,"feliz, justo",2
hertz,facil,mundo,83.33333333333333,"facil, mundo",2
vichy,multa,sobre,83.33333333333333,"multa, sobre",2
rugby,facil,menos,83.33333333333333,"facil, menos",2
vichy,debut,solar,83.33333333333333,"debut, solar",2
chips,extra,mundo,83.26530612244899,"extra, mundo",2
vichy,panel,sudor,83.26530612244898,"panel, sudor",2
vichy,poner,salud,83.26530612244898,"poner, salud",2
rugby,islam,techo,83.26530612244898,"islam, techo",2
spray,mucho,nivel,83.26530612244898,"mucho, nivel",2
panty,curso,feliz,83.26530612244898,"curso, feliz",2
vichy,multa,poner,83.19727891156462,"multa, poner",2
flash,joven,tribu,83.19727891156462,"joven, tribu",2
pymes,chino,lugar,83.19727891156462,"chino, lugar",2
vichy,panel,tumor,83.19727891156462,"panel, tumor",2
vichy,angel,sudor,83.12925170068027,"angel, sudor",2
panty,fosil,mujer,83.12925170068027,"fosil, mujer",2
vichy,lugar,menos,83.12925170068027,"lugar, menos",2
vichy,moral,segun,83.12925170068027,"moral, segun",2
vichy,droga,lunes,83.12925170068027,"droga, lunes",2
vichy,demas,turno,83.12925170068027,"demas, turno",2
vichy,dolar,segun,83.12925170068027,"dolar, segun",2
vichy,estar,mundo,83.12925170068027,"estar, mundo",2
vichy,broma,lunes,83.12925170068027,"broma, lunes",2
vichy,gramo,lunes,83.12925170068027,"gramo, lunes",2
vichy,grado,lunes,83.12925170068027,"grado, lunes",2
rugby,islam,noche,83.06122448979592,"islam, noche",2
films,ducha,pobre,83.06122448979592,"ducha, pobre",2
rugby,joven,lista,83.06122448979592,"joven, lista",2
brandy,mucho,suite,83.06122448979592,"mucho, suite",2
henry,disco,tumba,83.06122448979592,"disco, tumba",2
vichy,gramo,tunel,83.06122448979592,"gramo, tunel",2
vichy,grado,tunel,83.06122448979592,"grado, tunel",2
chips,debut,gramo,83.06122448979592,"debut, gramo",2
vichy,angel,tumor,83.06122448979592,"angel, tumor",2
vichy,broma,tunel,83.06122448979592,"broma, tunel",2
vichy,droga,tunel,83.06122448979592,"droga, tunel",2
vichy,album,norte,83.06122448979592,"album, norte",2
rugby,chino,metal,82.99319727891157,"chino, metal",2
crups,feliz,vagon,82.99319727891157,"feliz, vagon",2
henry,facil,justo,82.92517006802721,"facil, justo",2
brandy,gesto,movil,82.92517006802721,"gesto, movil",2
brandy,listo,pecho,82.92517006802721,"listo, pecho",2
chips,grave,mundo,82.92517006802721,"grave, mundo",2
zincs,bruja,golpe,82.9251700680272,"bruja, golpe",2
zincs,debut,favor,82.85714285714286,"debut, favor",2
chefs,lapiz,tumor,82.85714285714285,"lapiz, tumor",2
sport,ducha,feliz,82.85714285714285,"ducha, feliz",2
chuts,lapiz,mejor,82.85714285714285,"lapiz, mejor",2
pymes,final,hurto,82.85714285714285,"final, hurto",2
chuts,firme,plazo,82.85714285714285,"firme, plazo",2
chist,mujer,plazo,82.85714285714285,"mujer, plazo",2
brandy,siglo,techo,82.78911564625851,"siglo, techo",2
chuts,feliz,grado,82.72108843537416,"feliz, grado",2
brandy,hielo,justo,82.72108843537416,"hielo, justo",2
vichy,señal,turno,82.72108843537416,"señal, turno",2
chuts,droga,feliz,82.72108843537416,"droga, feliz",2
henry,fosil,tumba,82.72108843537414,"fosil, tumba",2
chuts,feliz,gramo,82.72108843537414,"feliz, gramo",2
chuts,broma,feliz,82.72108843537414,"broma, feliz",2
chips,debut,razon,82.65306122448979,"debut, razon",2
chefs,tribu,vagon,82.65306122448979,"tribu, vagon",2
chuts,firma,joven,82.65306122448979,"firma, joven",2
pymes,cajon,tribu,82.58503401360545,"cajon, tribu",2
chuts,firme,jabon,82.58503401360545,"firme, jabon",2
pymes,cajon,fluir,82.58503401360544,"cajon, fluir",2
barns,feliz,mucho,82.51700680272108,"feliz, mucho",2
rugby,lista,pecho,82.51700680272108,"lista, pecho",2
pymes,facil,hurto,82.51700680272108,"facil, hurto",2
brandy,ciego,justo,82.44897959183675,"ciego, justo",2
rugby,lejos,mitad,82.44897959183673,"lejos, mitad",2
grant,feliz,mucho,82.44897959183673,"feliz, mucho",2
vichy,mujer,salto,82.44897959183673,"mujer, salto",2
pymes,bruja,lindo,82.38095238095238,"bruja, lindo",2
zincs,debut,mayor,82.38095238095238,"debut, mayor",2
vichy,galon,super,82.38095238095238,"galon, super",2
rugby,clima,sexto,82.31292517006803,"clima, sexto",2
spray,chino,debut,82.31292517006803,"chino, debut",2
vichy,bruto,panel,82.31292517006803,"bruto, panel",2
vichy,punto,regla,82.31292517006803,"punto, regla",2
brandy,pecho,suite,82.31292517006803,"pecho, suite",2
pymes,ancho,fluir,82.31292517006803,"ancho, fluir",2
pymes,ancho,tribu,82.31292517006803,"ancho, tribu",2
rugby,chino,selva,82.24489795918367,"chino, selva",2
rugby,latin,pecho,82.24489795918367,"latin, pecho",2
vichy,segun,tramo,82.24489795918367,"segun, tramo",2
vichy,segun,tomar,82.24489795918367,"segun, tomar",2
vichy,arbol,segun,82.24489795918367,"arbol, segun",2
panty,mucho,rifle,82.24489795918367,"mucho, rifle",2
vichy,labor,segun,82.24489795918367,"labor, segun",2
vichy,debut,sonar,82.24489795918367,"debut, sonar",2
vichy,forma,lunes,82.24489795918367,"forma, lunes",2
vichy,mujer,salon,82.24489795918367,"mujer, salon",2
